issues,size_kb,topics,commits,commits_per_day,forks_per_day,age_days,days_since_update,recently_upload,has_homepage,stars,watchers,watchers_per_fork,activity_ratio,fork_star_ratio,issues_per_size,avg_growth_rate,creation_year,creation_month
484,49418,20,43,0.059065934065934064,8.385989010989011,728,0,1,1,50281,50281,8.236036036036037,0.0,0.12141521816952389,0.009793804002509156,68.97256515775034,2023,5
154,1236988,5,100,0.05425935973955507,4.4698860553445465,1843,0,1,1,49528,49528,6.012138868657441,0.0,0.1663267984413172,0.0001244958524287605,26.859002169197396,2020,5
2497,54749,20,100,0.11961722488038277,9.072966507177034,836,0,1,1,48015,48015,6.3302570863546475,0.0,0.15796817727424192,0.04560730593607306,57.365591397849464,2023,2
1,4903,13,2,0.0005735589331803843,1.0854602810438772,3487,0,1,0,47636,47636,12.585468956406869,0.0,0.07945504544786615,0.0002039151712887439,13.65711009174312,2015,11
108,330,0,0,0.0,0.6025712688652879,3578,0,1,0,47182,47182,21.88404452690167,0.0,0.04569442383909459,0.32628398791540786,13.183012014529199,2015,8
892,13219,6,0,0.0,10.356136820925553,497,0,1,0,46769,46769,9.086652418884787,0.0,0.11004917682274963,0.06747352496217851,93.9136546184739,2024,1
187,8824,10,0,0.0,4.404667328699106,2014,0,1,0,46481,46481,5.239657310337053,0.0,0.1908480702207306,0.021189801699716713,23.067493796526055,2019,11
563,3768,0,5,0.0625,100.4625,80,0,1,1,46050,46050,5.729749906681597,0.0,0.17452389741807994,0.14937649243831255,568.5185185185185,2025,3
3700,367936,6,45,0.008351893095768375,3.4370824053452114,5388,0,1,1,45507,45507,2.457314109833144,0.0,0.4069394392194779,0.010056069381443019,8.44442382631286,2010,8
568,145829,10,59,0.0913312693498452,10.56656346749226,646,0,1,1,44998,44998,6.592147670670964,0.0,0.15169225982799617,0.003894946170198176,69.54868624420402,2023,8
271,34059,0,0,0.0,10.69618320610687,655,0,1,0,44934,44934,6.41364544675992,0.0,0.15591409814176033,0.00795654726952437,68.4969512195122,2023,8
194,144039,0,21,0.05511811023622047,10.83989501312336,381,0,1,1,44255,44255,10.71549636803874,0.0,0.09332067968185105,0.0013468480977506248,115.85078534031413,2024,5
2555,30289,0,100,0.11286681715575621,6.353273137697517,886,0,1,1,43711,43711,7.765322437377865,0.0,0.12877470717423134,0.08435127104655002,49.279594137542276,2022,12
7956,11290633,7,100,0.02481389578163772,6.937965260545906,4030,0,1,1,43151,43151,1.5433118741058656,0.0,0.6479421579532815,0.0007046548493202419,10.704787893822873,2014,5
320,300751,10,100,0.10695187165775401,6.39144385026738,935,0,1,1,41850,41850,7.003012048192771,0.0,0.14279228692265417,0.0010639995744001702,44.71153846153846,2022,11
52,2351967,13,18,0.011131725417439703,2.312925170068027,1617,0,1,1,41738,41738,11.159893048128342,0.0,0.08960444668056254,2.2109144342099892e-05,25.796044499381953,2020,12
15,3794,3,25,0.005278716216216216,1.478462837837838,4736,0,1,0,41437,41437,5.917880605541274,0.0,0.1689753366475216,0.003952569169960474,8.747519527126874,2012,6
291,953,0,0,0.0,7.820250284414107,879,0,1,0,41424,41424,6.026185627000291,0.0,0.16593844296922147,0.3050314465408805,47.07272727272727,2022,12
761,33580,20,100,0.10131712259371833,8.08611955420466,987,0,1,1,41213,41213,5.163889236937727,0.0,0.193647789586063,0.022661624132694083,41.713562753036435,2022,9
597,9362,0,0,0.0,6.493781094527363,804,0,1,0,41061,41061,7.864585328481134,0.0,0.12714918903122108,0.0637616148670298,51.00745341614907,2023,3
300,75202,0,0,0.0,5.7480832420591454,913,0,1,0,41023,41023,7.816882621951219,0.0,0.12792511700468018,0.0039892025584085744,44.88293216630197,2022,11
2483,616194,15,100,0.01858045336306206,0.8086213303604608,5382,0,1,1,40933,40933,9.405560661764707,0.0,0.10631748668588459,0.004029568561900048,7.604124094371168,2010,8
472,66110,12,0,0.0,3.4590038314176246,1305,0,1,1,40903,40903,9.061364643331856,0.0,0.11035595540778408,0.0071395077974920965,31.319295558958654,2021,10
378,61452,4,4,0.0020629190304280558,1.3537906137184115,1939,0,1,1,40895,40895,15.57904761904762,0.0,0.06418720657276995,0.00615104225993849,21.079896907216494,2020,2
2,171378,20,0,0.0,3.8402524078379274,3011,0,1,1,40860,40860,3.5336850298365476,0.0,0.28298377425907345,1.167004125359583e-05,13.565737051792828,2017,2
368,7193,9,3,0.0011411182959300114,0.9809813617344998,2629,0,1,1,40253,40253,15.607987592089957,0.0,0.06406816713866945,0.051153739227133725,15.30532319391635,2018,3
15,170196,19,0,0.0,2.817586018569088,1831,0,1,1,40252,40252,7.802287264973832,0.0,0.12816436042034135,8.813316333425384e-05,21.971615720524017,2020,5
1327,399413,20,100,0.02706359945872801,4.0776725304465495,3695,0,1,1,40198,40198,2.6679498241189354,0.0,0.37481031866464337,0.00332236726804769,10.87608225108225,2015,4
1203,590685,8,100,0.047596382674916705,1.6501665873393623,2101,0,1,1,39505,39505,11.394577444476493,0.0,0.08775882144484382,0.0020366150543605233,18.794005708848715,2019,8
138,4538,10,0,0.0,0.617687074829932,2940,0,1,1,39416,39416,21.704845814977972,0.0,0.04607149199583936,0.03040317250495704,13.402244134648079,2017,5
998,6930,20,100,0.1841620626151013,5.69060773480663,543,0,1,1,39318,39318,12.724271844660194,0.0,0.07858796001932908,0.14399076612321454,72.27573529411765,2023,11
42,589748,9,100,0.03414134516899966,2.6538067599863435,2929,0,1,1,39300,39300,5.055962948668467,0.0,0.1977812269407903,7.121673796818647e-05,13.41296928327645,2017,5
349,65717,11,34,0.006096467634929173,0.7523758292989062,5577,0,1,1,39231,39231,9.349618684461392,0.0,0.10695350734094616,0.005310569402598984,7.033166009322338,2010,2
887,317,5,0,0.0,4.02621722846442,2403,0,1,1,39160,39160,4.047545219638243,0.0,0.24705702101580654,2.789308176100629,16.289517470881865,2018,10
91,3638,1,0,0.0,2.337678855325914,3145,0,1,0,39019,39019,5.307263329706203,0.0,0.1884161968221425,0.025006870019236054,12.402733630006358,2016,10
951,35326,0,2,0.002506265664160401,5.902255639097745,798,0,1,0,38640,38640,8.203821656050955,0.0,0.1218912554022929,0.026919919608231663,48.360450563204004,2023,3
1173,227200,13,19,0.009748589020010261,2.2524371472550024,1949,0,1,1,38536,38536,8.778132118451024,0.0,0.1139164958351714,0.005162829388955154,19.76205128205128,2020,1
468,293180,15,72,0.03065134099616858,1.2405278842060452,2349,0,1,1,38239,38239,13.122512010981469,0.0,0.07620292887029288,0.0015962835245121613,16.271914893617023,2018,12
23,130272,20,3,0.004037685060565276,4.896366083445491,743,0,1,1,37890,37890,10.415063221550302,0.0,0.0960122456520018,0.00017655231705725668,50.92741935483871,2023,5
291,35477,9,0,0.0,3.6487695749440716,894,0,1,1,37354,37354,11.451256897608829,0.0,0.0873243207067327,0.008202266193133773,41.73631284916201,2022,12
22,12519,4,23,0.008591707134852447,2.4721703399327604,2677,0,1,1,37212,37212,5.622846781504986,0.0,0.17784107704296886,0.001757188498402556,13.89544436146378,2018,1
4380,547163,20,100,0.03190810465858328,2.0121250797702617,3134,0,1,1,37185,37185,5.896764985727878,0.0,0.1695799494433389,0.00800491260389938,11.861244019138756,2016,10
32,1160,10,0,0.0,4.348805147058823,2176,0,1,0,36919,36919,3.9014054739511783,0.0,0.2563109425785482,0.02756244616709733,16.95865870463941,2019,6
329,4456,20,20,0.019569471624266144,9.019569471624266,1022,0,1,1,36910,36910,4.004122369277501,0.0,0.24973585110129773,0.07381646847655374,36.080156402737046,2022,8
388,5467,7,0,0.0,3.9973821989528795,1528,0,1,0,36756,36756,6.017681728880157,0.0,0.16617242974127377,0.07095830285296269,24.039241334205364,2021,3
61,10056,17,4,0.011019283746556474,10.823691460055096,363,0,1,1,36333,36333,9.247391193687962,0.0,0.1081356305388892,0.006065427065725365,99.81593406593407,2024,5
